"","subject","trial_index","rt","trial_type","stim_type","cue","top_opt","bottom_opt","responses","variable_type"
"97","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","hành lang","lối ra","lối vào","lối ra",NA
"98","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","giữa","trên","dưới","dưới",NA
"99","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","bắc","tây","đông","đông",NA
"100","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","triad","bóng đá","quần vợt","khung thành","khung thành",NA
"101","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","trăm","ngàn","mười","ngàn",NA
"102","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","bể cá","đập nước","kênh đào","kênh đào",NA
"103","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","attention check","Chọn vợ","chồng","vợ","vợ",NA
"104","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","triad","ong","bọ rùa","vườn","vườn",NA
"105","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","triad","phấn","bút lông","bảng đen","bảng đen",NA
"106","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","chiều cao","chiều sâu","chiều rộng","chiều sâu",NA
"107","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",6,71728.8050000025,"survey-multi-choice","filler","da thuộc","lụa","nhung","lụa",NA
"108","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","gà","trứng","thiên nga","trứng",NA
"109","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","nông dân","người bán thịt","máy kéo","máy kéo",NA
"110","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","nhện","mạng nhện","châu chấu","mạng nhện",NA
"111","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","chồi cây","cây con","cây","cây con",NA
"112","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","hiệp sĩ","áo giáp","người lính","áo giáp",NA
"113","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","nôi","giường","em bé","em bé",NA
"114","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","động đất","sóng thần","bão","sóng thần",NA
"115","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","biển","sông","cá voi","cá voi",NA
"116","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","cổ","vai","cằm","vai",NA
"117","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","bạc","sắt","vàng","sắt",NA
"118","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","khăn tắm","phòng tắm","khăn tay","phòng tắm",NA
"119","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","triad","nhà","chòi","vườn","vườn",NA
"120","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","cái xẻng","cái cuốc","cái cào","cái cào",NA
"121","78b25d8502de8c05d6d70a492e1451248523fb71beae286914fcecd4e8121fd5",7,61908.8049999991,"survey-multi-choice","filler","bắp rang","bánh quy","khoai tây chiên","khoai tây chiên",NA
