triad,cue_M,cue_basefreq_M,tax_M,tax_basefreq_M,theme_M,theme_basefreq_M,cue_tax_M,cue_tax_freq_M,cue_theme_M,cue_theme_freq_M,cue_E,cue_basefreq_E,tax_E,tax_basefreq_E,theme_E,theme_basefreq_E,cue_tax_E,cue_tax_freq_E,cue_theme_E,cue_theme_freq_E,cue_V,cue_basefreq_V,tax_V,tax_basefreq_V,theme_V,theme_basefreq_V,cue_tax_V,cue_tax_freq_V,cue_theme_V,cue_theme_freq_V
cow1,牛,20433,豬,17639,牛奶,11907,牛 - 豬,1104,牛 - 牛奶,435,cow,22660,pig,22965,milk,39204,cow - pig,145,cow - milk,1141,bò,,lợn,,sữa,,bò - lợn,76,bò - sữa,130
sheep,綿羊,1882,山羊,2706,羊毛,2513,綿羊 - 山羊,193,綿羊 - 羊毛,42,sheep,14430,goat,12944,wool,7573,sheep - goat,224,sheep - wool,323,cừu,,dê,,len,,cừu - dê,11,cừu - len,0
grass,草,11431,葉子,6957,馬,57724,草 - 葉子,275,草 - 馬,493,grass,32880,leaf,43674,horse,68883,grass - leaf,80,grass - horse,94,cỏ,,lá,,ngựa,,cỏ - lá,70,cỏ - ngựa,15
crayon,蠟筆,865,油漆刷,0,圖畫,3750,蠟筆 - 油漆刷,0,蠟筆 - 圖畫,10,crayon,2087,paintbrush,752,drawing,23549,crayon - paintbrush,1,crayon - drawing,66,bút sáp,,cọ,,tranh vẽ,,bút sáp - cọ,0,bút sáp - tranh vẽ,0
crown,皇冠,2407,帽子,13638,女王,6614,皇冠 - 帽子,8,皇冠 - 女王,26,crown,16806,hat,43629,queen,38445,crown - hat,102,crown - queen,226,vương miện,,mũ,,hoàng hậu,,vương miện - mũ,0,vương miện - hoàng hậu,0
cup,杯子,5349,茶碟,0,咖啡,33381,杯子 - 茶碟,0,杯子 - 咖啡,232,cup,109915,saucer,2428,coffee,70366,cup - saucer,289,cup - coffee,8536,cốc,,đĩa lót tách,,cà phê,,cốc - đĩa lót tách,0,cốc - cà phê,24
teacher,老師,149505,警察,41861,桌子,14994,老師 - 警察,398,老師 - 桌子,277,teacher,234642,policeman,9407,desk,46133,teacher - policeman,22,teacher - desk,264,giáo viên,,cảnh sát,,bàn,,giáo viên - cảnh sát,0,giáo viên - bàn,5
door,門,90301,窗戶,12061,鑰匙,11405,門 - 窗戶,1142,門 - 鑰匙,3216,door,252623,window,136043,key,67404,door - window,2413,door - key,1715,cửa ra vào,,cửa sổ,,chìa khoá,,cửa ra vào - cửa sổ,18,cửa ra vào - chìa khoá,0
house,房子,44779,小屋,5511,花園,25210,房子 - 小屋,102,房子 - 花園,478,house,537037,hut,8969,garden,71243,house - hut,63,house - garden,1885,nhà,,chòi,,vườn,,nhà - chòi,9,nhà - vườn,505
piano,鋼琴,12376,長笛,1184,歌,46763,鋼琴 - 長笛,295,鋼琴 - 歌,928,piano,17786,flute,3344,song,129648,piano - flute,69,piano - song,249,đàn pi-a-nô,,sáo,,bài hát,,đàn pi-a-nô - sáo,0,đàn pi-a-nô - bài hát,0
